Dataset,Algorithm,N_Configs,Mean_Perf,Std_Dev,CV (%),Range
iris,SGD,80,0.9492500030249357,0.0359087363504632,3.7828534354526537,0.17333332300186166
iris,SCG,20,0.9616666689515112,0.005109902934344662,0.5313590560350712,0.01999999880790715
iris,LEAPFROG,80,0.9590833357721568,0.01604658919708461,1.673117298421781,0.059999996423721336
beer,SGD,80,0.7959096927754581,0.18317823989175028,23.01495277095821,0.7082956209778786
beer,SCG,20,0.587809201134369,0.08939822358751627,15.208714565031192,0.29785067643970253
beer,LEAPFROG,80,0.8577210629731418,0.013554948601181442,1.5803446115915067,0.05392156243324275
titanic,SGD,80,0.8116582275182008,0.028185252024525088,3.4725517550295586,0.13701621294021604
titanic,SCG,20,0.8225761410593986,0.004188380456048571,0.5091784513290577,0.016828966140747026
titanic,LEAPFROG,80,0.8025934663414956,0.007211336805629829,0.8985042998794456,0.03589262366294854
polynomial,SGD,80,2.3430829758681844,6.288668131955099,268.3928907649954,56.547862037155156
polynomial,SCG,20,1.4304295958451967,0.09918646799366743,6.934033543612554,0.35602946485057085
polynomial,LEAPFROG,80,1.1411836678975535,0.07673712427361658,6.724344768707768,0.341171153948743
sinusoidal,SGD,80,0.5042666217387906,0.018667771438549165,3.701964523088948,0.10264815373313635
sinusoidal,SCG,20,0.50598746241071,0.011155018815543904,2.204603798362374,0.04021892198956817
sinusoidal,LEAPFROG,80,0.32701034548443453,0.07995384844984205,24.449944643616114,0.43522839579368844
gaussian,SGD,80,0.29198125199915503,0.09452993968629053,32.37534569053909,0.3119676904915595
gaussian,SCG,20,0.2506762888162418,0.01865303427575874,7.441084421603331,0.07611929092699127
gaussian,LEAPFROG,80,0.2571310596807135,0.04617337687153369,17.95713708366014,0.26366707213917295
